PersonalNumber,NumberType,Valid
199808069430,REG,true
9808069430,REG,true
19980806-9430,REG,true
980806-9430,REG,true
201701102384,REG,true
301701102384,REG,false
INVALID_INPUT,UNKNOWN,false
INVALID_INPUT,UNKNOWN,false
INVALID_INPUT,UNKNOWN,false
141206-2380,REG,true
20080903-2386,REG,true
7101169295,REG,true
198107249289,REG,true
19021214-9819,REG,true
190910199827,REG,true
191006089807,REG,true
192109099180,REG,true
4607137454,REG,true
194510168885,REG,true
900118+9811,REG,true
189102279800,REG,true
189912299816,REG,true
201701272394,REG,false
190302299813,REG,false
190910799824,COORD,true
556614-3185,ORG,true
16556601-6399,ORG,true
262000-1111,ORG,true
857202-7566,ORG,true
